# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
atsD	Rv0663	CCP43406	protein_coding	0	0	58	0	0	0	0	58	0	0	0	0	0	0	0	0
ccdA	Rv0527	CCP43264	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ccsA	Rv0529	CCP43266	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
cfp21	Rv1984c	CCP44754	protein_coding	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0
cinA	Rv1901	CCP44668	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
clpC1	Rv3596c	CCP46419	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
cut4	Rv3452	CCP46274	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
cyp125	Rv3545c	CCP46367	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
cyp130	Rv1256c	CCP44012	protein_coding	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	26
dapA	Rv2753c	CCP45552	protein_coding	0	0	59	0	0	0	0	55	0	0	0	0	0	0	0	4
dapB	Rv2773c	CCP45572	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ddn	Rv3547	CCP46369	protein_coding	5	3	1	1	0	2	0	0	5	0	0	0	0	0	0	1
deaD	Rv1253	CCP44009	protein_coding	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
dfrA	Rv2763c	CCP45562	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
dnaA	Rv0001	CCP42723	protein_coding	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0
dnaN	Rv0002	CCP42724	protein_coding	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0
dprE1	Rv3790	CCP46619	protein_coding	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	5
dprE2	Rv3791	CCP46620	protein_coding	0	0	13	0	0	0	0	8	0	0	0	0	0	0	0	5
eccA1	Rv3868	CCP46697	protein_coding	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	66
echA20	Rv3550	CCP46372	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
echA4	Rv0673	CCP43416	protein_coding	0	0	34	0	0	0	0	34	0	0	0	0	0	0	0	0
echA5	Rv0675	CCP43418	protein_coding	0	0	58	0	0	0	0	58	0	0	0	0	0	0	0	0
efp	Rv2534c	CCP45329	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
eis	Rv2416c	CCP45207	protein_coding	13	1	3	0	0	0	1	0	13	0	0	0	0	0	0	3
embA	Rv3794	CCP46623	protein_coding	6	7	40	3	1	0	3	6	6	0	0	0	0	0	0	34
embB	Rv3795	CCP46624	protein_coding	1	5	43	0	2	1	2	0	1	0	0	0	0	0	0	43
embC	Rv3793	CCP46622	protein_coding	0	6	51	3	0	2	1	44	0	0	0	0	0	0	0	7
embR	Rv1267c	CCP44023	protein_coding	20	7	9	3	0	5	0	1	19	0	0	2	0	0	0	8
end	Rv0670	CCP43413	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
espE	Rv3864	CCP46693	protein_coding	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	102
espF	Rv3865	CCP46694	protein_coding	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	102
espG1	Rv3866	CCP46695	protein_coding	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	102
espH	Rv3867	CCP46696	protein_coding	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	102
espR	Rv3849	CCP46678	protein_coding	0	0	172	0	0	0	0	172	0	0	0	0	0	0	0	0
ethA	Rv3854c	CCP46683	protein_coding	151	17	10	9	1	9	0	0	149	0	0	6	0	0	0	10
ethR	Rv3855	CCP46684	protein_coding	5	2	173	2	0	0	0	3	2	0	0	0	0	0	3	170
fabG1	Rv1483	CCP44243	protein_coding	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	2
fabH	Rv0533c	CCP43271	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
fadA5	Rv3546	CCP46368	protein_coding	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0
fadB5	Rv1912c	CCP44679	protein_coding	0	0	102	0	0	0	0	102	0	0	0	0	0	0	0	0
fadE28	Rv3544c	CCP46366	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
fadE29	Rv3543c	CCP46365	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
fadE35	Rv3797	CCP46626	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
fadE8	Rv0672	CCP43415	protein_coding	0	0	21	0	0	0	0	20	0	0	0	0	0	0	0	1
fadH	Rv1175c	CCP43931	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
fbiA	Rv3261	CCP46080	protein_coding	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
fbiB	Rv3262	CCP46081	protein_coding	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2
fbiC	Rv1173	CCP43929	protein_coding	1	1	2	0	1	0	0	0	1	0	0	0	0	0	0	2
fdxC	Rv1177	CCP43933	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
folB	Rv3607c	CCP46430	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
folE	Rv3609c	CCP46432	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
folK	Rv3606c	CCP46429	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
folP1	Rv3608c	CCP46431	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
fprA	Rv3106	CCP45916	protein_coding	10	1	0	0	0	1	0	0	10	0	0	0	0	0	0	0
ftsE	Rv3102c	CCP45912	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
ftsH	Rv3610c	CCP46433	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ftsK	Rv2748c	CCP45547	protein_coding	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	59
ftsX	Rv3101c	CCP45911	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
furA	Rv1909c	CCP44676	protein_coding	5	1	97	2	0	0	0	91	4	0	1	0	0	1	0	6
fusA1	Rv0684	CCP43427	protein_coding	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	48
gid	Rv3919c	CCP46748	protein_coding	84	5	6	0	0	5	0	0	84	0	0	4	0	0	0	6
glf	Rv3809c	CCP46638	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
glfT2	Rv3808c	CCP46637	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
gltB	Rv3859c	CCP46688	protein_coding	0	0	222	0	0	0	0	120	0	0	0	0	0	0	0	102
gltD	Rv3858c	CCP46687	protein_coding	0	0	172	0	0	0	0	172	0	0	0	0	0	0	0	0
gpgP	Rv2419c	CCP45210	protein_coding	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0
gpm1	Rv0489	CCP43223	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
gpsI	Rv2783c	CCP45582	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
gyrA	Rv0006	CCP42728	protein_coding	1	3	22	1	1	1	0	2	1	0	1	0	0	1	0	20
gyrB	Rv0005	CCP42727	protein_coding	1	2	22	0	0	2	0	5	1	0	0	0	0	0	0	17
hemL	Rv0524	CCP43261	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
hemZ	Rv1485	CCP44245	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
hns	Rv3852	CCP46681	protein_coding	0	0	172	0	0	0	0	172	0	0	0	0	0	0	0	0
hsdM	Rv2756c	CCP45555	protein_coding	0	0	63	0	0	0	0	59	0	0	0	0	0	0	0	4
hsdS	Rv2761c	CCP45560	protein_coding	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	4
hsdS.1	Rv2755c	CCP45554	protein_coding	0	0	59	0	0	0	0	59	0	0	0	0	0	0	0	0
ileT	EBG00000313329	EBG00000313329-1	protein_coding	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
infA	Rv3462c	CCP46284	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
inhA	Rv1484	CCP44244	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
katG	Rv1908c	CCP44675	protein_coding	71	18	14	8	3	7	0	0	71	0	0	0	0	0	0	14
lipD	Rv1923	CCP44690	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
lipR	Rv3084	CCP45893	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
lipT	Rv2045c	CCP44818	protein_coding	3	0	166	0	0	0	0	166	3	0	3	0	0	3	0	0
lipX	Rv1169c	CCP43925	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
lppC	Rv1911c	CCP44678	protein_coding	0	0	102	0	0	0	0	102	0	0	0	0	0	0	0	0
lppF	Rv1921c	CCP44688	protein_coding	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0
lppI	Rv2046	CCP44819	protein_coding	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	166
lpqP	Rv0671	CCP43414	protein_coding	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	1
lpqW	Rv1166	CCP43922	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
lprA	Rv1270c	CCP44026	protein_coding	1	0	35	0	0	0	0	34	0	0	0	0	0	0	1	1
lprB	Rv1274	CCP44030	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
lprC	Rv1275	CCP44031	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
lprJ	Rv1690	CCP44455	protein_coding	0	0	24	0	0	0	0	24	0	0	0	0	0	0	0	0
lprQ	Rv0483	CCP43217	protein_coding	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0
lsr2	Rv3597c	CCP46420	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
lysS	Rv3598c	CCP46421	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
manA	Rv3255c	CCP46074	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
manB	Rv3264c	CCP46083	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
mazE2	Rv0660c	CCP43403	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
mazF2	Rv0659c	CCP43402	protein_coding	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14
mcr11	EBG00000313343	EBG00000313343-1	lincRNA	1	0	36	0	0	0	0	1	0	0	0	0	0	0	1	35
mcr19	EBG00000313327	EBG00000313327-1	lincRNA	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0
mcr3	EBG00000313377	EBG00000313377-1	lincRNA	0	0	52	0	0	0	0	46	0	4	0	0	0	0	0	2
mctB	Rv1698	CCP44463	protein_coding	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	24
mmpL5	Rv0676c	CCP43419	protein_coding	18	5	40	1	0	3	1	0	18	0	0	0	0	0	0	40
mmpS5	Rv0677c	CCP43420	protein_coding	4	1	58	0	0	0	1	23	4	0	0	0	0	0	0	35
moaA1	Rv3109	CCP45919	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
moaB1	Rv3110	CCP45920	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
moaC1	Rv3111	CCP45921	protein_coding	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10
moaD1	Rv3112	CCP45922	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
modA	Rv1857	CCP44623	protein_coding	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	22
modB	Rv1858	CCP44624	protein_coding	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	22
modC	Rv1859	CCP44625	protein_coding	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	22
moxR1	Rv1479	CCP44239	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
mpg	Rv1688	CCP44453	protein_coding	0	0	18	0	0	0	0	18	0	0	0	0	0	0	0	0
mpr17	EBG00000313367	EBG00000313367-1	lincRNA	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
mpt64	Rv1980c	CCP44749	protein_coding	2	1	28	0	0	1	0	28	2	0	0	0	0	0	0	0
mshA	Rv0486	CCP43220	protein_coding	13	2	1	1	0	1	1	1	12	0	1	0	0	1	0	0
mshB	Rv1170	CCP43926	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
murA	Rv1315	CCP44072	protein_coding	0	0	51	0	0	0	0	51	0	0	0	0	0	0	0	0
murB	Rv0482	CCP43216	protein_coding	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0
nadD	Rv2421c	CCP45212	protein_coding	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0
nanT	Rv1902c	CCP44669	protein_coding	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	48
ndh	Rv1854c	CCP44620	protein_coding	16	3	4	3	0	1	0	0	15	0	0	1	1	0	0	4
nrdF1	Rv1981c	CCP44750	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
nudC	Rv3199c	CCP46014	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
nusB	Rv2533c	CCP45328	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ogt	Rv1316c	CCP44073	protein_coding	0	0	28	0	0	0	0	28	0	0	0	0	0	0	0	0
oxyR'	Rv2427A	Rv2427A	pseudogene	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	16
panC	Rv3602c	CCP46425	protein_coding	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	2
panD	Rv3601c	CCP46424	protein_coding	3	0	2	0	0	0	0	0	3	0	0	0	0	0	0	2
parA	Rv3918c	CCP46747	protein_coding	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	91
parB	Rv3917c	CCP46746	protein_coding	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	91
pepQ	Rv2535c	CCP45330	protein_coding	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
pepR	Rv2782c	CCP45581	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
pirG	Rv3810	CCP46639	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
pknH	Rv1266c	CCP44022	protein_coding	0	0	35	0	0	0	0	1	0	0	0	0	0	0	0	34
pknK	Rv3080c	CCP45889	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
pks12	Rv2048c	CCP44821	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
pmmA	Rv3257c	CCP46076	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
pncA	Rv2043c	CCP44816	protein_coding	132	29	8	7	5	17	2	0	130	0	1	5	0	1	0	8
ppiA	Rv0009	CCP42731	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
ppk2	Rv3232c	CCP46051	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
ppnK	Rv1695	CCP44460	protein_coding	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	24
prfB	Rv3105c	CCP45915	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
proA	Rv2427c	CCP45218	protein_coding	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	16
recF	Rv0003	CCP42725	protein_coding	0	0	23	0	0	0	0	23	0	0	0	0	0	0	0	0
recN	Rv1696	CCP44461	protein_coding	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	24
regX3	Rv0491	CCP43225	protein_coding	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10
ripA	Rv1477	CCP44237	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
rmlB	Rv3464	CCP46286	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
rmlC	Rv3465	CCP46287	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
rmlD	Rv3266c	CCP46085	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
rnpA	Rv3923c	CCP46752	protein_coding	0	0	91	0	0	0	0	91	0	0	0	0	0	0	0	0
rplB	Rv0704	CCP43448	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rplC	Rv0701	CCP43445	protein_coding	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2
rplD	Rv0702	CCP43446	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rplP	Rv0708	CCP43452	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rplQ	Rv3456c	CCP46278	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
rplV	Rv0706	CCP43450	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rplW	Rv0703	CCP43447	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rpmC	Rv0709	CCP43453	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
rpmH	Rv3924c	CCP46753	protein_coding	0	0	91	0	0	0	0	91	0	0	0	0	0	0	0	0
rpmJ	Rv3461c	CCP46283	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
rpoA	Rv3457c	CCP46279	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
rpoB	Rv0667	CCP43410	protein_coding	0	43	17	18	8	13	4	5	0	0	0	0	0	0	0	12
rpoC	Rv0668	CCP43411	protein_coding	0	2	58	0	1	0	1	0	0	0	0	0	0	0	0	58
rpsC	Rv0707	CCP43451	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rpsD	Rv3458c	CCP46280	protein_coding	0	1	3	0	1	0	0	3	0	0	0	0	0	0	0	0
rpsG	Rv0683	CCP43426	protein_coding	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	53
rpsJ	Rv0700	CCP43444	protein_coding	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
rpsK	Rv3459c	CCP46281	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
rpsL	Rv0682	CCP43425	protein_coding	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	56
rpsM	Rv3460c	CCP46282	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
rpsQ	Rv0710	CCP43454	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
rpsS	Rv0705	CCP43449	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rpsT	Rv2412	CCP45203	protein_coding	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0
rraA	Rv3853	CCP46682	protein_coding	0	0	172	0	0	0	0	172	0	0	0	0	0	0	0	0
rrf	EBG00000313349	EBG00000313349-1	rRNA	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	34
rrl	EBG00000313339	EBG00000313339-1	rRNA	0	0	52	0	0	0	0	0	0	13	0	0	0	0	0	39
rrs	EBG00000313325	EBG00000313325-1	rRNA	0	0	52	0	0	0	0	14	0	21	0	0	0	0	0	17
secA1	Rv3240c	CCP46059	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
senX3	Rv0490	CCP43224	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
smpB	Rv3100c	CCP45910	protein_coding	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
sodA	Rv3846	CCP46675	protein_coding	0	0	34	0	0	0	0	34	0	0	0	0	0	0	0	0
tgs3	Rv3234c	CCP46053	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
tgs4	Rv3088	CCP45897	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
thyA	Rv2764c	CCP45563	protein_coding	3	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0
thyX	Rv2754c	CCP45553	protein_coding	0	0	59	0	0	0	0	59	0	0	0	0	0	0	0	0
tlyA	Rv1694	CCP44459	protein_coding	21	3	0	0	2	1	0	0	21	0	0	0	0	0	0	0
truA	Rv3455c	CCP46277	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
trxB2	Rv3913	CCP46742	protein_coding	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0
trxC	Rv3914	CCP46743	protein_coding	0	0	70	0	0	0	0	70	0	0	0	0	0	0	0	0
tuf	Rv0685	CCP43428	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
tyrS	Rv1689	CCP44454	protein_coding	0	0	24	0	0	0	0	24	0	0	0	0	0	0	0	0
ubiA	Rv3806c	CCP46635	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
udgB	Rv1259	CCP44015	protein_coding	2	2	24	1	0	1	0	1	1	0	0	0	0	0	1	23
ureA	Rv1848	CCP44614	protein_coding	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0
ureB	Rv1849	CCP44615	protein_coding	0	0	18	0	0	0	0	18	0	0	0	0	0	0	0	0
ureC	Rv1850	CCP44616	protein_coding	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0
ureD	Rv1853	CCP44619	protein_coding	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0
ureF	Rv1851	CCP44617	protein_coding	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0
ureG	Rv1852	CCP44618	protein_coding	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0
uvrD2	Rv3198c	CCP46012	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
vapB21	Rv2758c	CCP45557	protein_coding	0	0	30	0	0	0	0	26	0	0	0	0	0	0	0	4
vapB36	Rv1982A	CCP44752	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
vapB39	Rv2530A	CCP45325	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
vapB42	Rv2760c	CCP45559	protein_coding	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	4
vapB7	Rv0662c	CCP43405	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
vapB8	Rv0664	CCP43407	protein_coding	0	0	58	0	0	0	0	58	0	0	0	0	0	0	0	0
vapC21	Rv2757c	CCP45556	protein_coding	0	0	44	0	0	0	0	40	0	0	0	0	0	0	0	4
vapC36	Rv1982c	CCP44751	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
vapC39	Rv2530c	CCP45324	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
vapC42	Rv2759c	CCP45558	protein_coding	0	0	18	0	0	0	0	14	0	0	0	0	0	0	0	4
vapC7	Rv0661c	CCP43404	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
vapC8	Rv0665	CCP43408	protein_coding	0	0	58	0	0	0	0	58	0	0	0	0	0	0	0	0
virS	Rv3082c	CCP45891	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
wbbL1	Rv3265c	CCP46084	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
whiB2	Rv3260c	CCP46079	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
whiB6	Rv3862c	CCP46691	protein_coding	79	5	24	2	0	4	1	0	77	0	1	8	0	1	0	24
whiB7	Rv3197A	CCP46011	protein_coding	10	2	20	1	0	1	0	0	10	0	0	0	0	0	0	20
